País,Inicio,Fin,m,tau,k,BIC,Lyapunov
CLP,2010-01-04,2011-12-30,1,1,1,-1.699554762142924,-0.30086034613264334
CLP,2012-01-03,2013-12-30,1,1,3,-1.8002990838651105,-0.012930440873984483
CLP,2014-01-02,2015-12-31,2,2,1,-1.935725243590156,0.15436289811516649
COP,2010-01-04,2011-12-30,3,2,3,-1.702290980609643,-0.21681731497072146
COP,2012-01-03,2013-12-30,3,1,1,-1.2620031433749292,-0.6329202345349989
COP,2014-01-02,2015-12-31,1,2,2,-1.4095462993706545,0.10596060665145746
MXN,2010-01-04,2011-12-30,2,2,2,-1.0896188658629213,-0.9300814670946675
MXN,2012-01-03,2013-12-30,1,1,2,-1.3949326947790435,0.5788574634438769
MXN,2014-01-02,2015-12-31,2,1,2,-1.585509087677194,-5.175054605476592
PEN,2010-01-04,2011-12-30,3,1,2,-0.8534307854507768,0.08212364336174753
PEN,2012-01-03,2013-12-30,1,1,2,-0.8701497796292319,-0.01044130001447083
PEN,2014-01-02,2015-12-31,1,1,2,-1.0368645900510178,-0.006085208527039178
